datetime,model_name,epoch,step,loss

2021-08-15 16:14:25.328730,snn_fc,0,0,2.3212509155273438
2021-08-15 19:06:08.326136,snn_fc,0,12490,1.8044278552291506
2021-08-15 19:06:15.989232,snn_fc,0,12499,1.8043956992626191
2021-08-15 19:06:16.874651,snn_fc,1,0,1.4494740962982178
2021-08-15 21:53:31.577088,snn_fc,1,12490,1.517258362223804
2021-08-15 21:53:38.499455,snn_fc,1,12499,1.517369987258911
2021-08-15 21:53:39.346239,snn_fc,2,0,0.719789445400238
2021-08-16 00:34:13.126636,snn_fc,2,12490,1.4113715619660605
2021-08-16 00:34:20.119159,snn_fc,2,12499,1.4112394546845555
2021-08-16 00:34:20.912680,snn_fc,3,0,1.2565515041351318
2021-08-16 03:15:58.801686,snn_fc,3,12490,1.3313898117679719
2021-08-16 03:16:05.969768,snn_fc,3,12499,1.3316313674655558
2021-08-16 03:16:06.722547,snn_fc,4,0,0.6493290662765503
2021-08-16 05:57:13.839952,snn_fc,4,12490,1.267575386489624
2021-08-16 05:57:20.683407,snn_fc,4,12499,1.2674759903466701
2021-08-16 05:57:21.534271,snn_fc,5,0,0.6593562960624695
2021-08-16 08:39:06.890800,snn_fc,5,12490,1.2212614996185625
2021-08-16 08:39:13.981254,snn_fc,5,12499,1.2213022773316502
2021-08-16 08:39:14.821263,snn_fc,6,0,1.4881757497787476
2021-08-16 11:25:48.729618,snn_fc,6,12490,1.1674863278252041
2021-08-16 11:25:56.346553,snn_fc,6,12499,1.1673561936093495
2021-08-16 11:25:57.137545,snn_fc,7,0,1.0643563270568848
2021-08-16 14:16:23.012996,snn_fc,7,12490,1.1215322329537107
2021-08-16 14:16:30.357700,snn_fc,7,12499,1.1215505301266908
2021-08-16 14:16:31.161272,snn_fc,8,0,0.845819890499115
2021-08-16 17:05:45.987523,snn_fc,8,12490,1.0782639411267705
2021-08-16 17:05:53.061580,snn_fc,8,12499,1.078465475257784
2021-08-16 17:05:53.852482,snn_fc,9,0,2.0203161239624023
2021-08-16 19:47:37.151433,snn_fc,9,12490,1.024533060447101
2021-08-16 19:47:44.547907,snn_fc,9,12499,1.024473730224073
2021-08-16 19:47:45.324845,snn_fc,10,0,2.164349317550659
2021-08-16 22:39:57.630019,snn_fc,10,12490,0.9820186761143385
2021-08-16 22:40:04.651323,snn_fc,10,12499,0.9820444062485546
2021-08-16 22:40:05.445997,snn_fc,11,0,0.2679808437824249
2021-08-17 01:23:05.483442,snn_fc,11,12490,0.9407278977283202
2021-08-17 01:23:12.509071,snn_fc,11,12499,0.9406347459766269
2021-08-17 01:23:13.279988,snn_fc,12,0,0.4983634948730469
2021-08-17 04:06:54.736988,snn_fc,12,12490,0.8974457546991912
2021-08-17 04:07:01.706353,snn_fc,12,12499,0.8974642705794238
2021-08-17 04:07:02.488465,snn_fc,13,0,0.11658845841884613
2021-08-17 06:50:18.628796,snn_fc,13,12490,0.8628325544965152
2021-08-17 06:50:25.584033,snn_fc,13,12499,0.8629092241460085
2021-08-17 06:50:26.328253,snn_fc,14,0,0.2121082991361618
2021-08-17 09:33:42.760226,snn_fc,14,12490,0.8150025300153374
2021-08-17 09:33:49.854468,snn_fc,14,12499,0.8152744984861277
2021-08-17 09:33:50.646192,snn_fc,15,0,0.580828070640564
2021-08-17 12:16:20.827396,snn_fc,15,12490,0.7843297552192121
2021-08-17 12:16:27.583815,snn_fc,15,12499,0.7844004511679709
2021-08-17 12:16:28.364808,snn_fc,16,0,0.11727946996688843
2021-08-17 15:02:51.318407,snn_fc,16,12490,0.7342089732093882
2021-08-17 15:02:59.496753,snn_fc,16,12499,0.7342935312177893
2021-08-17 15:03:00.429842,snn_fc,17,0,1.0768641233444214
2021-08-17 17:54:40.934982,snn_fc,17,12490,0.7022784197677169
2021-08-17 17:54:47.862243,snn_fc,17,12499,0.7024167991181277
2021-08-17 17:54:48.625792,snn_fc,18,0,0.6044757962226868
2021-08-17 20:37:42.888983,snn_fc,18,12490,0.6704334843137802
2021-08-17 20:37:49.983994,snn_fc,18,12499,0.670255433702399
2021-08-17 20:37:50.764229,snn_fc,19,0,1.0245640277862549
2021-08-17 23:21:03.028382,snn_fc,19,12490,0.627931518541882
2021-08-17 23:21:10.238880,snn_fc,19,12499,0.6281312598822661
2021-08-17 23:21:11.075651,snn_fc,20,0,1.7293646335601807
2021-08-18 02:06:59.867797,snn_fc,20,12490,0.6128442505069165
2021-08-18 02:07:07.720823,snn_fc,20,12499,0.6130198184639076
2021-08-18 02:07:08.591475,snn_fc,21,0,0.32006779313087463
2021-08-18 04:53:55.111918,snn_fc,21,12490,0.5805698315879619
2021-08-18 04:54:02.255906,snn_fc,21,12499,0.580720472040961
2021-08-18 04:54:03.075861,snn_fc,22,0,0.12404555082321167
2021-08-18 07:40:34.213961,snn_fc,22,12490,0.55340857743855
2021-08-18 07:40:41.234412,snn_fc,22,12499,0.5534407989577367
2021-08-18 07:40:42.044839,snn_fc,23,0,0.15438798069953918
2021-08-18 10:29:11.684926,snn_fc,23,12490,0.5265829145529847
2021-08-18 10:29:18.863656,snn_fc,23,12499,0.5265836435860052
2021-08-18 10:29:19.685170,snn_fc,24,0,0.14906805753707886
2021-08-18 13:19:46.176161,snn_fc,24,12490,0.5071286531436767
2021-08-18 13:19:54.037627,snn_fc,24,12499,0.5071866041683534
